100
#id; nome; familiaLinguistica; numFalantes; pricipalPais;
1; Mandarim; Sino-tibetana; 1100.0000; China; 
2; Espanhol; Indo-europeia (românica); 485.0000; Espanha; 
3; Inglês; Indo-europeia (germânica); 380.0000; Estados Unidos; 
4; Hindi; Indo-europeia (indo-ariana); 345.0000; Índia; 
5; Árabe; Afro-asiática (semítica); 310.0000; Egito; 
6; Bengali; Indo-europeia (indo-ariana); 235.0000; Bangladesh; 
7; Português; Indo-europeia (românica); 230.0000; Brasil; 
8; Russo; Indo-europeia (eslava); 150.0000; Rússia; 
9; Japonês; Japonês isolado; 125.0000; Japão; 
10; Lahnda (Punjabi ocidental); Indo-europeia (indo-ariana); 100.0000; Paquistão; 
11; Marata; Indo-europeia (indo-ariana); 95.0000; Índia; 
12; Telugo; Dravídica; 93.0000; Índia; 
13; Turco; Turcomana; 90.0000; Turquia; 
14; Coreano; Coreana isolada; 82.0000; Coreia do Sul; 
15; Francês; Indo-europeia (românica); 80.0000; França; 
16; Alemão; Indo-europeia (germânica); 76.0000; Alemanha; 
17; Vietnamita; Austro-asiática; 76.0000; Vietnã; 
18; Tâmil; Dravídica; 75.0000; Índia; 
19; Urdu; Indo-europeia (indo-ariana); 73.0000; Paquistão; 
20; Javanês; Austronésia; 68.0000; Indonésia; 
21; Italiano; Indo-europeia (românica); 65.0000; Itália; 
22; Egípcio Árabe; Afro-asiática (semítica); 64.0000; Egito; 
23; Gujarati; Indo-europeia (indo-ariana); 60.0000; Índia; 
24; Iraniano Persa (Farsi); Indo-europeia (iraniana); 58.0000; Irã; 
25; Bhojpuri; Indo-europeia (indo-ariana); 52.0000; Índia; 
26; Tagalog (Filipino); Austronésia; 50.0000; Filipinas; 
27; Yoruba; Níger-Congo; 45.0000; Nigéria; 
28; Ucraniano; Indo-europeia (eslava); 44.0000; Ucrânia; 
29; Malaio; Austronésia; 43.0000; Malásia; 
30; Suaíli; Níger-Congo; 41.0000; Tanzânia; 
31; Polonês; Indo-europeia (eslava); 40.0000; Polônia; 
